prolific_pid,goal_condition,base_rate,raw_response,trial_id,decision_structure,strategy,response_lowercase,chose_which_contaminated,chose_which_uncontaminated
subj_332,uncont,0.2,uncontainmented,exp1_trial1,singleton,"{""strategy"":""Since the researcher does not know for certain about the status of all of the vials, asking for which ones are not contaminated grants me a higher chance of certainity. ""}",uncontainmented,FALSE,FALSE
subj_083,uncont,0.5,Red,exp1_trial1,singleton,"{""strategy"":""I chose the color rather than the number ""}",red,FALSE,FALSE
subj_019,cont,0.8,unknown,exp1_trial1,singleton,"{""strategy"":""If my colleague points out all the vials with unknown status, including the two they don't know the status of, I'll know for sure which ones are definitely contaminated. I can test one of those to find out what the contaminant is.""}",unknown,FALSE,FALSE
subj_278,uncont,0.2,still viable to use,exp1_trial1,singleton,"{""strategy"":""I wanted to word it in a way they could answer with the knowledge they have. ""}",still viable to use,FALSE,FALSE
subj_204,uncont,0.8,At risk for contamination,exp1_trial1,singleton,"{""strategy"":""Hoping my coworker knows if any were at risk through reasons that are not listed ""}",at risk for contamination,FALSE,FALSE
subj_171,uncont,0.8,Seem off,exp1_trial1,singleton,"{""strategy"":""I know they can’t physically see the change but maybe can tell which ones seemed off by maybe smell or other features ""}",seem off,FALSE,FALSE
subj_209,cont,0.8,did you see and were they contaminated or not,exp1_trial1,singleton,"{""strategy"":""I figured I'd try to narrow down how many vials he did see and if the ones he saw were contaminated. I thought this would give me the best idea at determining which vials were contaminated and which were not.""}",did you see and were they contaminated or not,FALSE,FALSE
subj_272,cont,0.5,known to be ok,exp1_trial1,singleton,"{""strategy"":""I wanted to eliminate the half that are ok""}",known to be ok,FALSE,FALSE
subj_072,cont,0.5,"1,2,3,4,5",exp1_trial1,singleton,"{""strategy"":""The color of the contaminated seemed to be red""}","1,2,3,4,5",FALSE,FALSE
subj_116,cont,0.5,which vials had the same things inside them,exp1_trial1,singleton,"{""strategy"":""maybe the vials had different molecules in them and maybe one of the molecules is in each contaminated and not in the uncontaminated meaning i can find a link""}",which vials had the same things inside them,FALSE,FALSE
subj_242,cont,0.5,Discolored,exp1_trial1,singleton,"{""strategy"":""I thought that maybe the color or the look of the vials would be slightly different if they were contaminated. ""}",discolored,FALSE,FALSE
subj_261,uncont,0.8,uncomtaminated,exp1_trial1,singleton,"{""strategy"":""We already know the ones that are contaminated, therefore no need for us to do a test run. So the conclusion is to test run the ones that are UNCONTAMINATED to see if it is contaminated.""}",uncomtaminated,FALSE,FALSE
subj_219,cont,0.8,green,exp1_trial1,singleton,"{""strategy"":""I did it based on the image you first see at the beginning of the task which showcased the color scheme between which vials were contaminated and which where not.""}",green,FALSE,FALSE
subj_108,uncont,0.2,still sealed,exp1_trial1,singleton,"{""strategy"":""My assumption is that the vials were originally sealed and that the ones that are compromised would be opened""}",still sealed,FALSE,FALSE
subj_050,cont,0.5,not contaiminated,exp1_trial1,singleton,"{""strategy"":""I want to eliminate one plausiblity""}",not contaiminated,FALSE,FALSE
subj_091,uncont,0.2,2,exp1_trial1,singleton,"{""strategy"":""I just useed the the visual possibility as my measurement ""}",2,FALSE,FALSE
