prolific_pid,goal_condition,base_rate,raw_response,trial_id,decision_structure,strategy,response_lowercase,chose_which_contaminated,chose_which_uncontaminated,base_rate_num,base_rate_c
subj_186,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""I completed my question, using a checklist of details from my observation of the incident. ""}",uncontaminated,FALSE,TRUE,0.5,0
subj_280,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""it would show which ones are""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_123,cont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""The coworker knows two or three that were contaminated ""}",contaminated,TRUE,FALSE,0.5,0
subj_113,uncont,0.8,Definitely contaminated,exp1_trial1,singleton,"{""strategy"":""I figure I can do the experiment successfully by doing process of elimination""}",definitely contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_026,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I think asking that question would give me an answer, or at least which ones were seen to be contaminated.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_193,uncont,0.2,Not contaminated,exp1_trial1,singleton,"{""strategy"":""Finding out which are not contaminated will single out the ones that are contaminated ""}",not contaminated,FALSE,TRUE,0.2,-0.3
subj_067,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""this study""}",contaminated,TRUE,FALSE,0.5,0
subj_200,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I thought it was best to know which vials were contaminated to identify the contaminate, as the uncontaminated vials would not have anything to test.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_124,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I asked them which vials were contaminated""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_138,uncont,0.2,definately contaminated,exp1_trial1,singleton,"{""strategy"":""Rule out the definately contaminate and see what is left""}",definately contaminated,TRUE,FALSE,0.2,-0.3
subj_058,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""I feel that my questions covers at least a few of the cases I thought of. Specifically:\nCase 1: Coworker saw which vials never got contaminated (best case). \n - they will tell me \nCase 2: Coworker only knows which vials MIGHT be uncontaminated. (Average case)\n - they will tell me which vials may not be contaminated\n - based on this, i know which are contaminated for sure. (every vial excluded from their answer)\n \n\nAsking \""which vials are contaminated?\"" only covers the average case, and not the case of the coworker having seen any of the vials be uncontaminated. This makes it a bad question to ask.\n\n""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_197,uncont,0.5,uncontaminated,exp1_trial1,singleton,"{""strategy"":""My goal depends on one vial, so I asked which vials fit that criteria.""}",uncontaminated,FALSE,TRUE,0.5,0
subj_240,cont,0.2,Contaminated,exp1_trial1,singleton,"{""strategy"":""If they saw which were definitely contaminated it seems the obvious place to start.""}",contaminated,TRUE,FALSE,0.2,-0.3
subj_104,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""The colleague knew some are contaminated so by eliminating the ones that are known to be contaminated, it may make it easier to finding out about the others""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
subj_216,cont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""I figure they would have seen the contamination happen and there is a good chance they know of at least 1 that odd contaminated since half of them were""}",contaminated,TRUE,FALSE,0.5,0
subj_016,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""This is the only question which would guarantee success, as if I asked which ones were contaminated, I would be left with ones which are uncontaminated but also ones my colleague isn't sure about""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_040,uncont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""They know which ones are not contaminated and it's the ones hopefully they saw.""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
subj_089,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""ask them outright which are contaminated""}",contaminated,TRUE,FALSE,0.5,0
subj_101,uncont,0.8,Uncontaminated,exp1_trial1,singleton,"{""strategy"":""I thought this would be the most logical way to find the answer ""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
