prolific_pid,goal_condition,decision_structure,chosen_question,chose_which_contaminated,chose_which_uncontaminated,base_rate,trial_id,strategy
subj_013,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I'm not really sure. it just seemed like the right way to ask. ""}"
subj_289,uncont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Want to know which are contaminated for sure""}"
subj_267,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I didn't really have a strategy. It seemed like asking which vials were not contaminated might be different than the status quo.""}"
subj_312,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I just needs the ones that are safe to use. I therefore want as many that are usable.""}"
subj_001,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I thought if they would tell me which ones were contaminated, I can concentrate on those.""}"
subj_283,uncont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""To be honest, I don't really see the difference between both questions, so I just picked one at random.""}"
subj_020,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Removed certain ones first""}"
subj_299,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""it's quicker to separate what we know for certain ""}"
subj_292,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I thought that would be the easiest for my co-worker to remember and the easiest for me to decide which viles to get rid of.""}"
subj_006,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I wanted my colleague to focus on what I need instead of unnecessary information.""}"
subj_048,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""It is the quickest way to determine the vials to use. ""}"
