"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","prolific_pid","study_id","session_id","exp_version","goal_condition","base_rate_condition","decision_structure","completion_time","view_history","question_order","correct","option_order","trial_id","base_rate","raw_response","value"
"html-button-response","2254","
    <h2 style=""text-align: center;"">STANFORD UNIVERSITY</h2>
    <h3 style=""text-align: center;"">Research Information Sheet</h3>
    <div class=""instructions-box"" style=""font-size: 15px; line-height: 1.5;"">
        <p><strong>Protocol Director:</strong> Robert Hawkins<br>
        <strong>Protocol Title:</strong> Communication and social cognition in natural audiovisual contexts<br>
        <strong>IRB#</strong> 77226</p>

        <p><strong>DESCRIPTION:</strong> You are invited to participate in a research study about language and communication. The purpose of the research is to understand how people formulate questions to gather information in uncertain situations. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada.</p>

        <p><strong>TIME INVOLVEMENT:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time.</p>

        <p><strong>RISKS AND BENEFITS:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. This study advances our scientific understanding of how people communicate and make decisions. We cannot and do not guarantee or promise that you will receive any benefits from this study.</p>

        <p><strong>PAYMENTS:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent.</p>

        <p><strong>PARTICIPANT'S RIGHTS:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you.</p>

        <p><strong>CONTACT INFORMATION:</strong><br>
        <em>Questions:</em> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (rdhawkins@stanford.edu).<br><br>
        <em>Independent Contact:</em> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irb2-manager@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306.</p>

        <p style=""text-align: center; margin-top: 20px;""><strong>Please save or print a copy of this page for your records.<br>If you agree to participate in this research, please click ""Continue"".</strong></p>
    </div>
","0","0","2.0.0","2259","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","","","",""
"instructions","34148","","","1","2.0.0","36411","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","[{""page_index"":0,""viewing_time"":4461},{""page_index"":1,""viewing_time"":6536},{""page_index"":2,""viewing_time"":6612},{""page_index"":3,""viewing_time"":5285},{""page_index"":4,""viewing_time"":11254}]","","","","","","",""
"survey-multi-choice","8288","","{""goal_check"":""Run experiment on an uncontaminated vial""}","2","2.0.0","44703","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","[0]","true","[""Ask your colleague multiple questions"",""Run experiment on an uncontaminated vial"",""Find out the contaminant that went in the vials"",""Test as many vials as possible""]","","","",""
"html-button-response","1239","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","3","2.0.0","45945","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","","","",""
"survey-multi-choice","5953","","{""colleague_check"":""The colleague knows for certain about some vials, not about others.""}","4","2.0.0","51900","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","[0]","true","[""The colleague knows for certain about some vials, not about others."",""It depends on the trial."",""The colleague knows the status of all the vials."",""The colleague knows nothing.""]","","","",""
"html-button-response","1009","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","5","2.0.0","52912","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","","","",""
"survey-multi-choice","3970","","{""baserate_check"":""I don't know""}","6","2.0.0","56884","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","[0]","false","[""I don't know"",""only a few contaminated, mostly uncontaminated"",""mostly contaminated, only a few uncontaminated"",""half contaminated, half uncontaminated""]","","","",""
"html-button-response","2519","<p class=""check-incorrect"">That's not quite right.</p>
                            <p>Remember: <strong>5 vials are contaminated</strong> and <strong>5 are uncontaminated</strong>.</p>
                            <p>You have 2 attempt(s) remaining.</p>","0","7","2.0.0","59414","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","","","",""
"survey-multi-choice","2869","","{""baserate_check"":""half contaminated, half uncontaminated""}","8","2.0.0","62285","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","[0]","true","[""half contaminated, half uncontaminated"",""only a few contaminated, mostly uncontaminated"",""mostly contaminated, only a few uncontaminated"",""I don't know""]","","","",""
"html-button-response","1017","<p class=""check-correct"">✓ Correct! You're ready to begin.</p>","0","9","2.0.0","63313","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","","","",""
"survey-html-form","11756","","{""completion"":""Contaminated""}","10","2.0.0","75089","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","exp1_trial1","0.5","Contaminated",""
"survey-text","26488","","{""strategy"":""I figured that he would be more likely, or the colleague would be more likely to remember which ones were contaminated because there would be some kind of movement or some kind of touching or rubbing off into those vials that may have been more memorable""}","11","2.0.0","101581","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","","","",""
"html-button-response","2418","
    <h2>Study Complete - Debriefing</h2>
    <div class=""instructions-box"">
        <p><strong>Thank you for participating!</strong></p>

        <p><strong>Purpose of this study:</strong></p>
        <p>This study investigates how people choose to phrase questions when seeking information.
        Specifically, we are interested in whether people's goals influence which question they ask—for example,
        whether asking ""Which are contaminated?"" vs. ""Which are uncontaminated?"" depends on what the person
        wants to accomplish.</p>

        <p><strong>What we're studying:</strong></p>
        <p>We hypothesize that people strategically choose question framing to maximize the usefulness of
        the answer for their specific decision problem. Your responses will help us understand the
        cognitive processes underlying question formulation.</p>

        <p><strong>Confidentiality:</strong></p>
        <p>Your responses are completely anonymous and will only be used for research purposes.
        No identifying information has been collected.</p>

        <p>If you have any questions about this research, please contact sylee423@stanford.edu or rdhawkins@stanford.edu.</p>
    </div>
","0","12","2.0.0","104000","6787f20d2450c83ac325e446","696ee8c5c568b0a38ae820bf","6975892e4fce5ea5c08d6b93","exp1","uncont","0.5","singleton","2026-01-25T03:10:20.300Z","","","","","","","",""
